GENE	Cond0	Cond1	Cond2
VNG1951G	 0.026	-0.002	-0.039
VNG1659G	-0.082	-0.059	-0.075
VNG1282G	 0.152	 0.153	 0.112
VNG6232G	-0.056	-0.075	-0.205
VNG0318G	 0.002	-0.015	-0.017
VNG0690C	-0.014	-0.057	-0.027
VNG5076G	 0.034	 0.041	 0.036
VNG5175H	 0.027	-0.086	 0.048
VNG0652H	 0.035	 0.012	-0.005
VNG0617H	 0.097	 0.119	 0.108
VNG2632G	-0.018	-0.017	-0.018
VNG0162G	-0.170	-0.040	-0.025
VNG0030H	-0.013	-0.068	-0.156
VNG1767G	 0.102	 0.100	 0.092
VNG2291G	 0.026	-0.007	-0.067
VNG2181G	 0.053	 0.057	 0.095
VNG2603H	-0.237	-0.211	-0.202
VNG1929G	-0.023	-0.021	-0.043
VNG0729H	 0.191	 0.132	 0.134
VNG2521H	-0.025	-0.046	-0.042
VNG6186H	 0.033	-0.005	-0.071
VNG0633G	-0.088	-0.066	-0.114
VNG0112H	 0.152	 0.091	 0.085
VNG0156C	-0.012	-0.045	-0.053
VNG2567C	-0.282	-0.012	-0.052
VNG0793G	-0.129	-0.091	-0.117
VNG1208G	 0.093	-0.035	-0.069
VNG1401C	 0.099	 0.025	 0.102
VNG2451H	 0.052	-0.016	 0.053
VNG0261H	 0.084	 0.070	 0.102
VNG1047H	 0.110	 0.040	 0.042
VNG0227H	 0.075	-0.006	-0.002
VNG0872G	-0.064	-0.013	-0.075
VNG2468C	-0.096	-0.064	-0.086
VNG2074H	 0.050	-0.030	-0.051
VNG0407H	 0.022	-0.058	 0.006
VNG0473G	-0.030	 0.031	 0.046
VNG2563H	-0.139	-0.137	-0.161
VNG2087G	-0.045	-0.144	-0.088
VNG0324G	 0.249	 0.192	 0.214
VNG0527C	 0.110	 0.199	 0.138
VNG2473G	-0.179	-0.107	-0.171
VNG1751H	 0.062	-0.018	 0.009
VNG0916G	-0.018	-0.120	-0.174
VNG1976H	 0.011	-0.081	-0.069
VNG1891H	 0.081	 0.153	-0.012
VNG2174H	 0.055	 0.023	 0.025
VNG1749G	 0.154	 0.135	 0.131
VNG0175G	 0.043	 0.012	 0.020
VNG2249G	-0.002	 0.032	 0.012
VNG2587C	 0.007	-0.028	-0.085
VNG2581H	-0.104	-0.034	 0.176
VNG2447G	-0.120	-0.222	-0.094
VNG1068G	-0.208	 0.020	-0.018
VNG0058H	 0.156	 0.026	 0.044
VNG1616C	 0.007	-0.055	 0.002
VNG0963G	-0.126	 0.029	 0.034
VNG0556G	 0.067	-0.008	-0.053
VNG1513H	-0.028	-0.026	-0.059
VNG5197H	 0.042	 0.040	 0.006
VNG5090C	 0.014	 0.043	 0.021
VNG1156G	-0.007	 0.023	 0.006
VNG1889H	-0.257	-0.254	-0.227
VNG0507C	 0.043	 0.046	-0.037
VNG5098C	-0.005	-0.014	-0.005
VNG2117C	 0.192	 0.128	 0.119
VNG2190G	 0.042	 0.003	-0.002
VNG0099G	 0.137	 0.083	 0.082
VNG0819C	-0.005	-0.045	-0.140
VNG1898C	-0.136	-0.137	-0.184
VNG0504G	 0.115	 0.076	 0.089
VNG0115G	-0.043	-0.017	-0.003
VNG6287H	 0.062	 0.009	-0.018
VNG2650G	 0.024	 0.002	 0.042
VNG0901G	-0.099	-0.033	-0.031
VNG0401G	 0.134	 0.098	 0.147
VNG1437G	-0.005	-0.082	-0.037
VNG0885G	-0.198	-0.100	-0.082
VNG1406G	 0.012	 0.083	-0.009
VNG5075C	 0.070	-0.040	 0.018
VNG6321H	-0.099	-0.158	-0.124
VNG0650C	 0.102	 0.128	 0.093
VNG0154G	 0.041	-0.051	-0.097
VNG1995C	-0.075	-0.023	-0.021
VNG1834G	 0.064	 0.051	-0.036
VNG5132H	 0.004	 0.019	 0.011
VNG1480C	 0.107	 0.046	-0.014
VNG6397H	 0.067	 0.030	 0.044
VNG1261H	-0.206	-0.153	-0.139
VNG0796G	-0.142	-0.110	-0.076
VNG0391C	 0.017	 0.037	 0.045
VNG1375C	 0.001	 0.032	-0.058
VNG0707C	 0.053	-0.024	-0.043
VNG5112H	 0.109	 0.040	 0.060
VNG1017H	 0.004	-0.084	-0.080
VNG1511C	 0.067	 0.089	 0.080
VNG6240G	 0.002	-0.099	-0.193
VNG2584C	 0.057	-0.073	-0.054
VNG1648G	 0.004	-0.020	-0.067
VNG6319H	-0.104	-0.037	-0.063
VNG1097G	 0.048	 0.022	 0.028
VNG0136G	-0.019	-0.007	-0.011
VNG2097C	-0.052	-0.012	-0.102
VNG0750C	-0.020	-0.012	-0.061
VNG2071G	-0.016	-0.046	-0.154
VNG1756G	-0.039	-0.037	-0.021
VNG0342G	-0.191	-0.126	-0.155
VNG2411G	 0.155	 0.095	 0.142
VNG1644G	-0.030	 0.043	 0.110
VNG5203C	 0.009	 0.043	-0.007
VNG0713C	 0.094	 0.010	-0.011
VNG0622H	-0.087	-0.123	-0.135
VNG2146H	-0.197	-0.188	-0.184
VNG0775G	-0.118	-0.068	-0.122
VNG1698G	-0.275	-0.033	 0.001
VNG1952H	 0.017	-0.119	-0.032
VNG1180G	 0.010	 0.010	-0.008
VNG2227C	 0.018	-0.025	-0.013
VNG1984G	-0.003	 0.028	 0.013
VNG0370H	 0.027	 0.037	 0.036
VNG5049H	 0.094	 0.085	-0.164
VNG1181G	-0.006	-0.056	-0.003
VNG1938C	-0.011	-0.137	-0.264
VNG1314H	 0.281	 0.212	 0.214
VNG1797G	 0.027	 0.036	-0.024
VNG0309C	-0.049	-0.024	-0.110
VNG2131G	 0.005	 0.022	 0.013
VNG0330G	-0.392	-0.219	-0.295
VNG1142G	-0.202	-0.070	-0.020
VNG1168C	 0.196	 0.147	 0.174
